Temps (ms),Déplacement (mm) obtenu par intégration,Effort (kN),Energie (J),Vitesse (m/s) obtenue par intégration
ms ,mm1,kN ,J  ,ms1
            ,BUT 180,BUT 180,BUT 180,BUT 180
 -255.550000,    0.000000,    0.033313,    0.000000,    0.000000
 -255.500000,    0.000000,    0.033267,    0.000000,    0.000000
 -255.450000,    0.000000,    0.033225,    0.000000,    0.000000
 -255.400000,    0.000000,    0.033190,    0.000000,    0.000000
 -255.350000,    0.000000,    0.033162,    0.000000,    0.000000
 -255.300000,    0.000000,    0.033144,    0.000000,    0.000000
 -255.250000,    0.000000,    0.033135,    0.000000,    0.000000
 -255.200000,    0.000000,    0.033135,    0.000000,    0.000000
 -255.150000,    0.000000,    0.033144,    0.000000,    0.000000
 -255.100000,    0.000000,    0.033161,    0.000000,    0.000000
 -255.050000,    0.000000,    0.033186,    0.000000,    0.000000
 -255.000000,    0.000000,    0.033218,    0.000000,    0.000000
 -254.950000,    0.000000,    0.033256,    0.000000,    0.000000
 -254.900000,    0.000000,    0.033300,    0.000000,    0.000000
 -254.850000,    0.000000,    0.033347,    0.000000,    0.000000
 -254.800000,    0.000000,    0.033395,    0.000000,    0.000000
 -254.750000,    0.000000,    0.033441,    0.000000,    0.000000
 -254.700000,    0.000000,    0.033482,    0.000000,    0.000000
 -254.650000,    0.000000,    0.033517,    0.000000,    0.000000
 -254.600000,    0.000000,    0.033545,    0.000000,    0.000000
 -254.550000,    0.000000,    0.033563,    0.000000,    0.000000
 -254.500000,    0.000000,    0.033573,    0.000000,    0.000000
 -254.450000,    0.000000,    0.033574,    0.000000,    0.000000
 -254.400000,    0.000000,    0.033565,    0.000000,    0.000000
 -254.350000,    0.000000,    0.033546,    0.000000,    0.000000
 -254.300000,    0.000000,    0.033518,    0.000000,    0.000000
 -254.250000,    0.000000,    0.033482,    0.000000,    0.000000
 -254.200000,    0.000000,    0.033439,    0.000000,    0.000000
 -254.150000,    0.000000,    0.033390,    0.000000,    0.000000
 -254.100000,    0.000000,    0.033337,    0.000000,    0.000000
 -254.050000,    0.000000,    0.033280,    0.000000,    0.000000
 -254.000000,    0.000000,    0.033222,    0.000000,    0.000000
 -253.950000,    0.000000,    0.033163,    0.000000,    0.000000
 -253.900000,    0.000000,    0.033103,    0.000000,    0.000000
 -253.850000,    0.000000,    0.033045,    0.000000,    0.000000
 -253.800000,    0.000000,    0.032989,    0.000000,    0.000000
 -253.750000,    0.000000,    0.032937,    0.000000,    0.000000
 -253.700000,    0.000000,    0.032890,    0.000000,    0.000000
 -253.650000,    0.000000,    0.032847,    0.000000,    0.000000
 -253.600000,    0.000000,    0.032808,    0.000000,    0.000000
 -253.550000,    0.000000,    0.032772,    0.000000,    0.000000
 -253.500000,    0.000000,    0.032736,    0.000000,    0.000000
 -253.450000,    0.000000,    0.032699,    0.000000,    0.000000
 -253.400000,    0.000000,    0.032658,    0.000000,    0.000000
 -253.350000,    0.000000,    0.032613,    0.000000,    0.000000
 -253.300000,    0.000000,    0.032564,    0.000000,    0.000000
